# R (kpc) | vc (km/s) | sigma- (km/s) | sigma+ (km/s)
################################################
5.27	226.83	1.91	1.9
5.74	230.8	1.43	1.35
6.23	231.2	1.7	1.1
6.73	229.88	1.44	1.32
7.22	229.61	1.37	1.11
7.82	229.91	0.92	0.88
8.19	228.86	0.8	0.67
8.78	226.5	1.07	0.95
9.27	226.2	0.72	0.62
9.76	225.94	0.42	0.52
10.26	225.68	0.44	0.4
10.75	224.73	0.38	0.41
11.25	224.02	0.33	0.54
11.75	223.86	0.4	0.39
12.25	222.23	0.51	0.37
12.74	220.77	0.54	0.46
13.23	220.92	0.57	0.4
13.74	217.47	0.64	0.51
14.24	217.31	0.77	0.66
14.74	217.6	0.65	0.68
15.22	217.07	1.06	0.8
15.74	217.38	0.84	1.07
16.24	216.14	1.2	1.48
16.74	212.52	1.39	1.43
17.25	216.41	1.44	1.85
17.75	213.7	2.22	1.65
18.24	207.89	1.76	1.88
18.74	209.6	2.31	2.77
19.22	206.45	2.54	2.36
19.71	201.91	2.99	2.26
20.27	199.84	3.15	2.89
20.78	198.14	3.33	3.37
21.24	195.3	5.99	6.5
21.8	213.67	15.38	12.18
22.14	176.97	28.58	18.57
22.73	193.11	27.64	19.05
23.66	176.63	18.67	16.74
24.82	198.42	6.5	6.12

